LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
W5347429BB,60,27660,15693,806,9,2,9.17,24,0.5,High School,Self-employed,Married,Yes,Yes,Education,No,0
6QV9EYFZCV,53,127170,59868,300,85,2,22.07,24,0.54,Master's,Unemployed,Single,Yes,Yes,Home,No,0
957TMBG33U,22,58500,247184,531,111,1,9.68,12,0.16,High School,Unemployed,Married,Yes,Yes,Education,No,0
V1CONXLBS0,37,106642,96470,456,65,3,5.64,48,0.29,Master's,Full-time,Married,Yes,No,Business,Yes,0
OGAN6GXRC7,33,159775,201166,716,24,1,7.93,36,0.54,Bachelor's,Unemployed,Married,Yes,No,Education,No,0
WFRL7DRDOU,60,54839,14815,695,67,3,3.06,36,0.73,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,0
61U9MQF6D9,62,55628,69997,564,73,3,12.46,60,0.4,Bachelor's,Unemployed,Single,Yes,Yes,Other,Yes,0
9JCSA1RQS6,21,112975,170718,471,95,2,18.55,60,0.22,High School,Unemployed,Single,Yes,Yes,Other,No,1
P5YH7MS5JB,53,25137,186735,566,51,3,12.38,24,0.28,Bachelor's,Full-time,Single,Yes,No,Other,No,0
IQ4O1TI4A2,38,96266,213794,434,43,2,15.73,12,0.9,High School,Unemployed,Divorced,No,Yes,Auto,Yes,0
2UZG4Z8IT1,24,87626,19609,576,36,4,13.26,24,0.58,High School,Full-time,Divorced,Yes,No,Education,No,0
3ZWW7SUP8N,24,136458,73282,418,104,2,6.87,24,0.41,Master's,Unemployed,Divorced,Yes,No,Business,Yes,0
GHF2LULSG0,57,84604,59421,704,6,4,6.65,12,0.73,Master's,Part-time,Divorced,Yes,No,Education,Yes,0
J7HEBZ8E8R,43,136791,164977,617,11,3,24.28,24,0.22,High School,Full-time,Married,No,No,Other,Yes,0
9GSIDVW7DC,40,139695,15334,356,68,1,4.56,36,0.86,PhD,Full-time,Single,No,Yes,Education,No,0
7UD3KNPNIJ,36,43890,113821,586,53,3,16.45,36,0.12,PhD,Unemployed,Married,Yes,No,Business,No,1
