LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
W4NTO9VWXP,68,89470,51844,566,95,4,14.21,24,0.77,Bachelor's,Self-employed,Married,No,Yes,Business,Yes,0
OG8S3J7KKX,47,65127,72020,364,0,3,23.55,60,0.81,High School,Unemployed,Married,Yes,No,Home,Yes,0
DIO8YNCSQ4,37,121490,42203,623,63,3,9.7,36,0.5,Bachelor's,Unemployed,Married,No,No,Other,No,0
OIC7V3T69K,28,44755,104335,457,52,2,8.19,24,0.55,Bachelor's,Unemployed,Single,No,Yes,Auto,Yes,0
UFR0VXFC8N,31,91478,99559,453,86,4,20.66,60,0.58,PhD,Full-time,Single,No,No,Auto,Yes,0
WDVTCMQH95,30,84731,193132,697,62,1,23.49,60,0.8,PhD,Unemployed,Divorced,Yes,No,Auto,Yes,1
JUD1WB1FKE,49,77902,146362,459,101,2,23.55,60,0.16,Bachelor's,Part-time,Single,Yes,Yes,Other,No,0
H7RBDP2A8X,44,44794,188243,584,84,3,6.64,60,0.46,Bachelor's,Part-time,Married,No,No,Education,Yes,0
D4IK2Z01DZ,66,97604,132271,468,26,2,8.4,12,0.42,Master's,Self-employed,Married,Yes,Yes,Home,Yes,0
NFC2AQ62TG,27,70507,193368,795,105,4,20.2,24,0.53,High School,Self-employed,Married,Yes,No,Other,Yes,1
KXL16LZN74,25,92593,152873,320,24,1,18.85,12,0.58,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,0
KIFW4HDUXO,47,125418,27767,639,42,1,17.83,12,0.6,Bachelor's,Self-employed,Single,No,No,Auto,No,0
K4R7YKJVQN,59,36738,244707,848,23,4,11.54,36,0.34,High School,Full-time,Married,Yes,Yes,Education,No,1
O72SJTESIB,57,142486,129372,380,93,4,14.42,24,0.28,Master's,Unemployed,Married,Yes,Yes,Education,No,0
U4APK6ZEDI,40,88453,45473,538,7,1,19.66,48,0.9,Bachelor's,Part-time,Married,Yes,No,Auto,Yes,0
KQGAIBN7AO,41,25639,86308,762,72,3,13.84,36,0.44,PhD,Self-employed,Divorced,Yes,No,Business,Yes,0
WU3MSUUFFZ,34,107929,247567,664,33,2,17.03,36,0.51,Master's,Part-time,Married,No,No,Education,No,0
3T4UU72B62,58,129218,107224,680,22,1,10.89,60,0.26,High School,Unemployed,Divorced,No,No,Business,No,0
U2WNWGQRPV,51,37724,176940,759,111,2,23.49,36,0.28,Master's,Full-time,Married,Yes,Yes,Auto,Yes,0
85J8X16GEP,62,116200,64723,523,18,1,19.22,24,0.86,High School,Unemployed,Single,Yes,No,Other,Yes,0
Q5WM2JNXLQ,50,75539,219997,506,115,3,19.69,24,0.4,Bachelor's,Unemployed,Married,Yes,No,Other,No,1
SFVTA0P2KK,69,61826,64064,477,94,3,22.32,36,0.4,PhD,Unemployed,Divorced,Yes,Yes,Other,Yes,0
2M982QGWEK,31,47102,86667,422,45,2,5.25,36,0.27,High School,Self-employed,Divorced,Yes,Yes,Home,Yes,0
P6C2NAR67P,22,52526,46649,423,53,2,11.89,36,0.65,Bachelor's,Unemployed,Single,No,No,Other,No,1
GWIAW40GWE,28,66421,23056,481,45,3,23.21,48,0.57,Master's,Part-time,Married,No,No,Home,No,0
YTM7Z8U35B,44,18388,221450,708,51,2,7.97,48,0.8,Master's,Unemployed,Married,Yes,No,Business,No,0
5OQ5C3KJ19,33,128883,104555,665,71,1,21.56,60,0.2,PhD,Full-time,Married,No,Yes,Home,Yes,0
MXCPRXAQX5,36,79661,169340,379,35,2,11.82,48,0.78,PhD,Part-time,Single,No,No,Other,No,0
W50SDADTVC,34,135904,34524,641,101,4,13.1,24,0.49,Bachelor's,Self-employed,Divorced,Yes,No,Other,No,0
Z1RGXZCZXN,63,60985,188973,375,110,4,9.09,36,0.35,Master's,Full-time,Divorced,Yes,No,Auto,Yes,0
ZI01E3A38L,68,80323,156678,463,57,2,9.49,36,0.81,High School,Full-time,Divorced,Yes,No,Home,No,0
TILOA2CFX4,29,24788,60506,630,28,2,14.09,12,0.88,High School,Part-time,Married,No,Yes,Other,No,0
0V2M4T04JI,21,34527,139005,541,86,4,7.65,48,0.3,Bachelor's,Unemployed,Married,Yes,No,Home,Yes,0
FQKX34TZO3,36,124627,237838,354,106,1,5.13,48,0.76,Bachelor's,Unemployed,Divorced,Yes,Yes,Home,Yes,0
4EN9GFR9GK,36,36851,45850,745,71,3,3.06,36,0.46,Master's,Unemployed,Single,No,No,Other,Yes,0
